mpg,displacement,horsepower,weight
18,307,130,3504
15,350,165,3693
18,318,150,3436
16,304,150,3433
17,302,140,3449
15,429,198,4341
14,454,220,4354
14,440,215,4312
14,455,225,4425
15,390,190,3850
15,383,170,3563
14,340,160,3609
15,400,150,3761
14,455,225,3086
24,113,95,2372
22,198,95,2833
18,199,97,2774
21,200,85,2587
27,97,88,2130
26,97,46,1835
25,110,87,2672
24,107,90,2430
25,104,95,2375
26,121,113,2234
21,199,90,2648
10,360,215,4615
10,307,200,4376
11,318,210,4382
9,304,193,4732
27,97,88,2130
28,140,90,2264
25,113,95,2228
19,232,100,2634
16,225,105,3439
17,250,100,3329
19,250,88,3302
18,232,100,3288
14,350,165,4209
14,400,175,4464
14,351,153,4154
14,318,150,4096
12,383,180,4955
13,400,170,4746
13,400,175,5140
18,258,110,2962
22,140,72,2408
19,250,100,3282
18,250,88,3139
23,122,86,2220
28,116,90,2123
30,79,70,2074
30,88,76,2065
31,71,65,1773
35,72,69,1613
27,97,60,1834
26,91,70,1955
24,113,95,2278
25,97.5,80,2126
23,97,54,2254
20,140,90,2408
21,122,86,2226
13,350,165,4274
14,400,175,4385
15,318,150,4135
14,351,153,4129
17,304,150,3672
11,429,208,4633
13,350,155,4502
12,350,160,4456
13,400,190,4422
19,70,97,2330
15,304,150,3892
13,307,130,4098
13,302,140,4294
14,318,150,4077
18,121,112,2933
22,121,76,2511
21,120,87,2979
26,96,69,2189
22,122,86,2395
28,97,92,2288
23,120,97,2506
28,98,80,2164
27,97,88,2100
13,350,175,4100
14,304,150,3672
13,350,145,3988
14,302,137,4042
15,318,150,3777
12,429,198,4952
13,400,150,4464
13,351,158,4363
14,318,150,4237
13,440,215,4735
12,455,225,4951
13,360,175,3821
18,225,105,3121
16,250,100,3278
18,232,100,2945
18,250,88,3021
23,198,95,2904
26,97,46,1950
11,400,150,4997
12,400,167,4906
13,360,170,4654
12,350,180,4499
18,232,100,2789
20,97,88,2279
21,140,72,2401
22,108,94,2379
18,70,90,2124
19,122,85,2310
21,155,107,2472
26,98,90,2265
15,350,145,4082
16,400,230,4278
29,68,49,1867
24,116,75,2158
20,114,91,2582
19,121,112,2868
15,318,150,3399
24,121,110,2660
20,156,122,2807
11,350,180,3664
20,198,95,3102
19,232,100,2901
15,250,100,3336
31,79,67,1950
26,122,80,2451
32,71,65,1836
25,140,75,2542
16,250,100,3781
16,258,110,3632
18,225,105,3613
16,302,140,4141
13,350,150,4699
14,318,150,4457
14,302,140,4638
14,304,150,4257
29,98,83,2219
26,79,67,1963
26,97,78,2300
31,76,52,1649
32,83,61,2003
28,90,75,2125
24,90,75,2108
26,116,75,2246
24,120,97,2489
26,108,93,2391
31,79,67,2000
19,225,95,3264
18,250,105,3459
15,250,72,3432
15,250,72,3158
16,400,170,4668
15,350,145,4440
16,318,150,4498
14,351,148,4657
17,231,110,3907
16,250,105,3897
15,258,110,3730
18,225,95,3785
21,231,110,3039
20,262,110,3221
13,302,129,3169
29,97,75,2171
23,140,83,2639
20,232,100,2914
23,140,78,2592
24,134,96,2702
25,90,71,2223
24,119,97,2545
18,171,97,2984
29,90,70,1937
19,232,90,3211
23,115,95,2694
23,120,88,2957
22,121,98,2945
25,121,115,2671
33,91,53,1795
28,107,86,2464
25,116,81,2220
25,140,92,2572
26,98,79,2255
27,101,83,2202
17.5,305,140,4215
16,318,150,4190
15.5,304,120,3962
14.5,351,152,4215
22,225,100,3233
22,250,105,3353
24,200,81,3012
22.5,232,90,3085
29,85,52,2035
24.5,98,60,2164
29,90,70,1937
33,91,53,1795
20,225,100,3651
18,250,78,3574
18.5,250,110,3645
17.5,258,95,3193
29.5,97,71,1825
32,85,70,1990
28,97,75,2155
26.5,140,72,2565
20,130,102,3150
13,318,150,3940
19,120,88,3270
19,156,108,2930
16.5,168,120,3820
16.5,350,180,4380
13,350,145,4055
13,302,130,3870
13,318,150,3755
31.5,98,68,2045
30,111,80,2155
36,79,58,1825
25.5,122,96,2300
33.5,85,70,1945
17.5,305,145,3880
17,260,110,4060
15.5,318,145,4140
15,302,130,4295
17.5,250,110,3520
20.5,231,105,3425
19,225,100,3630
18.5,250,98,3525
16,400,180,4220
15.5,350,170,4165
15.5,400,190,4325
16,351,149,4335
29,97,78,1940
24.5,151,88,2740
26,97,75,2265
25.5,140,89,2755
30.5,98,63,2051
33.5,98,83,2075
30,97,67,1985
30.5,97,78,2190
22,146,97,2815
21.5,121,110,2600
21.5,80,110,2720
43.1,90,48,1985
36.1,98,66,1800
32.8,78,52,1985
39.4,85,70,2070
36.1,91,60,1800
19.9,260,110,3365
19.4,318,140,3735
20.2,302,139,3570
19.2,231,105,3535
20.5,200,95,3155
20.2,200,85,2965
25.1,140,88,2720
20.5,225,100,3430
19.4,232,90,3210
20.6,231,105,3380
20.8,200,85,3070
18.6,225,110,3620
18.1,258,120,3410
19.2,305,145,3425
17.7,231,165,3445
18.1,302,139,3205
17.5,318,140,4080
30,98,68,2155
27.5,134,95,2560
27.2,119,97,2300
30.9,105,75,2230
21.1,134,95,2515
23.2,156,105,2745
23.8,151,85,2855
23.9,119,97,2405
20.3,131,103,2830
17,163,125,3140
21.6,121,115,2795
16.2,163,133,3410
31.5,89,71,1990
29.5,98,68,2135
21.5,231,115,3245
19.8,200,85,2990
22.3,140,88,2890
20.2,232,90,3265
20.6,225,110,3360
17,305,130,3840
17.6,302,129,3725
16.5,351,138,3955
18.2,318,135,3830
16.9,350,155,4360
15.5,351,142,4054
19.2,267,125,3605
18.5,360,150,3940
31.9,89,71,1925
34.1,86,65,1975
35.7,98,80,1915
27.4,121,80,2670
25.4,183,77,3530
23,350,125,3900
27.2,141,71,3190
23.9,260,90,3420
34.2,105,70,2200
34.5,105,70,2150
31.8,85,65,2020
37.3,91,69,2130
28.4,151,90,2670
28.8,173,115,2595
26.8,173,115,2700
33.5,151,90,2556
41.5,98,76,2144
38.1,89,60,1968
32.1,98,70,2120
37.2,86,65,2019
28,151,90,2678
26.4,140,88,2870
24.3,151,90,3003
19.1,225,90,3381
34.3,97,78,2188
29.8,134,90,2711
31.3,120,75,2542
37,119,92,2434
32.2,108,75,2265
46.6,86,65,2110
27.9,156,105,2800
40.8,85,65,2110
44.3,90,48,2085
43.4,90,48,2335
36.4,121,67,2950
30,146,67,3250
44.6,91,67,1850
33.8,97,67,2145
29.8,89,62,1845
32.7,168,132,2910
23.7,70,100,2420
35,122,88,2500
32.4,107,72,2290
27.2,135,84,2490
26.6,151,84,2635
25.8,156,92,2620
23.5,173,110,2725
30,135,84,2385
39.1,79,58,1755
39,86,64,1875
35.1,81,60,1760
32.3,97,67,2065
37,85,65,1975
37.7,89,62,2050
34.1,91,68,1985
34.7,105,63,2215
34.4,98,65,2045
29.9,98,65,2380
33,105,74,2190
33.7,107,75,2210
32.4,108,75,2350
32.9,119,100,2615
31.6,120,74,2635
28.1,141,80,3230
30.7,145,76,3160
25.4,168,116,2900
24.2,146,120,2930
22.4,231,110,3415
26.6,350,105,3725
20.2,200,88,3060
17.6,225,85,3465
28,112,88,2605
27,112,88,2640
34,112,88,2395
31,112,85,2575
29,135,84,2525
27,151,90,2735
24,140,92,2865
36,105,74,1980
37,91,68,2025
31,91,68,1970
38,105,63,2125
36,98,70,2125
36,120,88,2160
36,107,75,2205
34,108,70,2245
38,91,67,1965
32,91,67,1965
38,91,67,1995
25,181,110,2945
38,262,85,3015
26,156,92,2585
22,232,112,2835
32,144,96,2665
36,135,84,2370
27,151,90,2950
27,140,86,2790
44,97,52,2130
32,135,84,2295
28,120,79,2625
31,119,82,2720
